gender,race,income,education,label_value,model_prediction,score
Female,Black,24358,Bachelors,1,0,326
Male,Asian,85108,Masters,0,1,610
Female,Asian,52117,Masters,0,0,584
Male,Asian,51910,High School,1,0,580
Male,Hispanic,75754,Masters,1,1,463
Female,Asian,82438,High School,0,1,523
Female,Black,49371,High School,0,1,445
Female,Hispanic,71501,High School,1,0,329
Female,Black,80946,Bachelors,1,1,344
Male,White,58467,PhD,1,1,770
Female,White,37625,Bachelors,1,0,333
Male,White,53893,PhD,0,0,726
Female,White,96329,PhD,1,0,520
Female,Black,51007,High School,1,0,833
Female,Hispanic,59532,Masters,1,0,666
Male,Hispanic,74253,High School,0,1,849
Female,Asian,32323,Masters,0,1,415
Female,Black,93379,PhD,0,1,538
Female,White,34210,High School,0,0,634
Female,Black,36456,Masters,1,0,740
Male,Asian,51367,Bachelors,0,0,447
Female,Asian,74624,Masters,1,1,308
Male,Black,30106,High School,1,1,587
Male,Black,88008,Bachelors,1,0,687
Male,Black,92240,Masters,1,1,349
Male,Hispanic,84315,Masters,0,0,816
Male,White,89249,Masters,0,1,577
Male,Black,90587,Masters,0,1,599
Female,Black,30756,Masters,1,1,434
Male,Black,88011,Bachelors,1,0,446
Male,Asian,56378,PhD,1,1,789
Male,Asian,24255,Bachelors,1,1,777
Female,Hispanic,34484,Bachelors,1,0,458
Female,White,76549,Bachelors,0,1,683
Male,Hispanic,54503,PhD,1,0,462
Female,White,93794,High School,0,0,740
Male,Asian,65113,PhD,1,0,488
Male,Asian,94069,Bachelors,1,0,714
Female,Asian,25249,Masters,0,0,638
Male,Hispanic,39201,Masters,0,1,480
Female,Black,78576,Bachelors,1,0,587
Female,Black,29686,Masters,1,0,486
Male,Asian,73363,Bachelors,1,0,437
Male,Black,20661,Masters,1,0,429
Female,Black,64843,PhD,0,1,493
Male,Hispanic,80963,High School,1,0,615
Male,White,62828,High School,0,1,443
Male,Asian,68604,PhD,1,0,315
Female,Asian,30526,PhD,0,1,601
Female,Hispanic,88910,Bachelors,0,0,722
Male,Hispanic,45592,Bachelors,1,0,544
Female,Black,48982,Bachelors,0,1,406
Female,Asian,20207,Masters,1,0,387
Female,White,88619,Bachelors,0,1,428
Female,Hispanic,49328,PhD,1,0,640
Female,White,66479,High School,0,1,303
Male,White,40103,Masters,1,0,626
Male,Asian,59891,Bachelors,1,0,709
Male,Asian,30754,Masters,0,1,605
Female,Hispanic,92982,Masters,0,0,524
Female,Asian,75922,Bachelors,0,0,647
Male,Asian,68231,Masters,0,0,620
Female,Asian,49301,High School,1,0,480
Male,White,82711,PhD,0,0,685
Male,Hispanic,61323,PhD,1,0,407
Male,Black,38752,High School,0,1,830
Female,White,33395,Masters,1,1,709
Female,Asian,76273,Bachelors,1,1,595
Male,White,24895,Masters,1,0,470
Male,Asian,96559,High School,1,1,630
Male,Asian,30699,Masters,0,0,792
Male,White,85061,PhD,0,0,494
Female,Hispanic,29715,Masters,1,0,311
Female,Asian,39169,High School,0,0,494
Male,Hispanic,36163,PhD,0,1,789
Male,Black,25782,Masters,1,0,481
Female,Asian,55585,Masters,0,1,615
Female,Hispanic,50682,PhD,0,0,329
Male,Hispanic,67864,Bachelors,0,1,395
Male,Black,75114,PhD,1,1,680
Male,Hispanic,58067,Bachelors,0,1,743
Female,Hispanic,62685,High School,1,1,597
Female,Black,38073,High School,0,1,660
Female,Asian,56035,PhD,0,1,673
Male,Hispanic,84977,PhD,0,0,602
Male,Hispanic,85450,High School,1,1,720
Female,Hispanic,30382,Bachelors,1,0,545
Female,White,24437,High School,0,1,536
Male,Black,90971,PhD,1,0,833
Female,White,84612,High School,0,1,484
Female,Black,81929,PhD,1,1,767
Male,Asian,32329,PhD,1,0,662
Female,Asian,45169,High School,0,1,582
Male,Hispanic,54594,Bachelors,0,1,635
Male,Black,96957,Masters,0,1,461
Male,Asian,80631,High School,0,0,459
Male,Black,65033,Masters,1,1,773
Male,Asian,83133,High School,1,0,621
Male,White,93165,Masters,1,1,311
Male,Asian,93861,Bachelors,0,1,723
Female,White,72290,Bachelors,0,0,372
Male,Asian,51750,High School,1,1,500
Male,Hispanic,60461,PhD,0,1,821
Female,White,93800,Masters,1,0,804
Female,Asian,98222,PhD,1,1,338
Female,Hispanic,44226,PhD,1,0,359
Male,White,26721,PhD,1,0,620
Female,Hispanic,76154,Bachelors,1,0,734
Male,Black,40609,High School,0,1,707
Male,Black,72130,High School,0,0,685
Male,White,92909,Bachelors,0,0,377
Male,Asian,75249,Bachelors,1,1,493
Female,White,68895,High School,1,0,584
Female,Hispanic,25656,PhD,1,1,826
Male,Asian,94520,Masters,1,1,823
Male,Black,83740,Masters,0,1,455
Male,Asian,84309,Masters,0,1,639
Female,Black,49984,PhD,1,0,424
Male,Asian,93822,High School,1,0,579
Male,Asian,25901,Bachelors,1,0,427
Female,Asian,51552,High School,0,0,613
Female,Hispanic,51055,PhD,0,0,631
Male,Hispanic,57685,Bachelors,0,1,449
Female,White,93965,PhD,1,0,753
Female,White,34716,Masters,1,0,335
Male,Black,31138,Masters,0,0,719
Female,Hispanic,55298,PhD,1,1,321
Male,Black,71112,Bachelors,0,1,505
Female,White,43429,Bachelors,1,0,655
Male,Black,70200,High School,0,1,739
Male,White,91308,Masters,1,0,395
Male,Hispanic,68244,High School,0,0,463
Female,Asian,37347,High School,0,1,447
Male,Hispanic,36920,PhD,0,1,829
Female,Black,51822,PhD,0,0,593
Male,Black,66659,High School,0,0,494
Male,Hispanic,60108,Masters,0,1,779
Female,Hispanic,27967,PhD,1,0,422
Male,White,31871,High School,1,1,699
Male,Black,97452,High School,1,0,751
Female,Black,94270,High School,0,1,403
Male,Hispanic,53613,High School,0,0,761
Male,Asian,48179,High School,1,0,695
Male,Black,72188,High School,0,1,636
Male,Asian,75099,PhD,0,0,441
Female,Hispanic,55262,Masters,0,0,616
Female,Hispanic,98213,High School,0,1,826
Male,White,38268,Bachelors,0,0,700
Female,Black,97866,PhD,1,0,609
Male,Asian,80545,PhD,1,0,794
Female,White,92146,High School,1,1,408
Male,Black,91966,PhD,1,1,671
Male,White,59922,High School,1,1,505
Male,Hispanic,99364,Masters,0,0,342
Male,Black,62913,Masters,0,0,544
Male,White,75677,PhD,0,0,586
Male,White,69841,PhD,0,0,654
Female,Asian,66332,Bachelors,1,1,775
Male,White,45032,PhD,1,0,382
Female,Black,57846,Bachelors,1,0,409
Male,Black,79474,Masters,0,0,489
Female,Asian,64936,Masters,1,1,550
Female,Black,49794,High School,0,0,590
Female,Hispanic,81588,Masters,1,0,500
Male,Black,90984,Bachelors,1,0,625
Male,Black,70331,PhD,0,0,810
Female,White,48141,High School,0,0,708
Male,White,29074,Bachelors,1,1,807
Female,Black,26406,PhD,1,0,371
Male,Asian,43291,High School,0,0,546
Female,White,61568,Masters,1,0,643
Female,Asian,66851,Bachelors,1,0,353
Male,Black,74823,PhD,0,0,827
Female,Black,43312,High School,1,0,831
Male,Hispanic,63108,High School,0,0,492
Female,White,86918,Masters,1,0,357
Female,Black,54171,PhD,0,0,736
Male,Hispanic,61779,Masters,1,0,410
Male,White,88828,Masters,0,1,428
Male,Black,32411,PhD,1,1,625
Female,Black,77009,PhD,0,1,307
Male,White,35422,PhD,1,1,328
Female,White,62468,Bachelors,1,0,411
Female,White,52371,PhD,1,1,430
Male,Black,77022,High School,1,1,487
Male,Black,91229,Masters,1,0,774
Female,Hispanic,71196,Bachelors,1,1,663
Female,Asian,46715,PhD,1,1,503
Male,White,47605,Bachelors,1,0,511
Male,Black,51174,PhD,1,0,575
Male,Black,29956,Bachelors,0,0,372
Male,White,96373,Masters,0,1,542
Male,Asian,89252,Masters,1,1,401
Female,White,81949,High School,0,0,470
Female,Asian,82646,High School,1,0,487
Female,Black,90017,PhD,1,1,740
Female,Asian,83037,Masters,0,0,385
Male,Hispanic,26548,Bachelors,1,1,775
Male,Black,93294,Bachelors,1,0,351
Male,Hispanic,43177,Bachelors,0,0,410
Female,White,44022,High School,0,1,342
Female,White,25542,Bachelors,1,0,510
Male,White,80428,High School,0,0,499
Male,Asian,42740,High School,0,0,325
Female,Black,79353,PhD,1,1,598
Female,White,76532,Bachelors,0,0,376
Male,White,36052,Bachelors,0,0,436
Male,Black,67076,Masters,1,0,319
Female,White,73420,PhD,0,0,739
Male,Hispanic,20671,Masters,0,0,510
Male,Black,20163,PhD,1,0,850
Male,Black,61424,Bachelors,1,1,734
Female,Black,73744,High School,1,1,506
Female,Hispanic,90331,High School,0,0,738
Female,Black,30634,High School,1,1,341
Female,Hispanic,24798,High School,1,1,710
Female,Black,42420,High School,0,0,822
Female,Asian,49300,Masters,1,1,726
Female,White,30749,PhD,1,1,574
Male,Asian,45121,Bachelors,1,1,747
Male,White,57487,Masters,1,1,668
Male,Hispanic,53361,PhD,0,1,519
Male,Asian,41223,High School,1,1,531
Male,Black,92930,PhD,1,1,627
Male,White,34056,PhD,0,1,742
Male,White,48380,High School,1,0,351
Female,Asian,46035,High School,0,0,675
Female,Hispanic,50620,High School,0,1,562
Male,Asian,39877,Bachelors,0,1,566
Male,Hispanic,75316,High School,1,0,658
Female,Hispanic,84041,Bachelors,0,1,616
Male,White,73352,High School,0,1,623
Male,Asian,50911,Bachelors,0,0,720
Female,Asian,52784,PhD,1,0,345
Male,Hispanic,23191,Masters,1,0,568
Female,Asian,53160,PhD,1,1,680
Male,Black,84641,PhD,1,1,417
Female,Black,69723,High School,1,0,415
Female,Asian,23631,Bachelors,1,0,559
Female,Asian,26172,Masters,1,1,374
Male,Hispanic,62080,High School,0,0,779
Female,Black,40281,High School,0,1,604
Male,Black,48671,High School,0,1,306
Male,White,71431,PhD,0,0,665
Male,Hispanic,48602,Bachelors,1,0,822
Male,White,71399,Bachelors,0,1,647
Female,Black,43472,Masters,0,0,737
Female,Hispanic,69230,Bachelors,0,0,514
Male,Asian,93616,Bachelors,0,0,728
Male,Hispanic,27099,High School,1,0,797
Female,Asian,45431,High School,1,1,839
Male,Asian,76492,PhD,1,1,666
Female,Hispanic,67684,High School,0,1,612
Male,Asian,50111,High School,1,1,837
Male,White,83936,High School,0,0,353
Female,Black,42614,High School,1,0,840
Male,Asian,61991,PhD,1,1,766
Female,White,90476,High School,1,1,463
Male,Asian,80920,Masters,1,0,633
Male,Black,83530,Masters,1,1,846
Male,White,56224,Masters,0,1,647
Female,Black,27788,Masters,1,0,572
Male,Black,48082,High School,0,1,713
Male,White,96816,Masters,0,0,799
Male,White,36531,High School,0,0,392
Male,White,64857,PhD,0,1,378
Female,Hispanic,30142,Masters,0,0,516
Female,White,68355,Bachelors,1,1,657
Male,White,29866,Masters,1,0,806
Female,White,90067,Masters,1,1,480
Male,White,84027,High School,1,1,545
Male,Asian,77906,Masters,0,1,543
Male,Hispanic,48138,Bachelors,1,0,805
Female,Black,49956,High School,1,0,721
Female,White,96295,High School,0,1,619
Female,Asian,25439,PhD,0,0,386
Female,Asian,67241,PhD,1,1,516
Female,Asian,62533,Masters,1,1,789
Female,Black,48270,PhD,0,0,818
Female,White,98815,PhD,1,1,577
Female,Hispanic,59279,PhD,1,0,468
Female,Hispanic,43888,High School,1,1,629
Male,Asian,37630,High School,1,0,740
Female,Black,81063,High School,0,1,690
Female,Black,55144,PhD,0,1,795
Female,Black,72161,High School,0,0,680
Female,Hispanic,97360,PhD,1,1,605
Female,Asian,70979,High School,1,1,812
Female,White,26979,High School,1,0,487
Female,Hispanic,46189,Bachelors,1,1,815
Female,Asian,62600,Masters,1,0,726
Female,Asian,79560,PhD,0,1,801
Female,White,98040,Bachelors,1,0,559
Female,White,81558,High School,1,1,812
Male,White,26910,PhD,0,1,370
Male,Black,77713,High School,1,1,777
Female,White,66857,Masters,0,0,477
Female,Asian,54964,Bachelors,0,0,756
Male,White,45227,Masters,0,0,488
