gender,race,income,education,label_value,model_prediction
Male,Hispanic,67864,Bachelors,0,1
Male,Black,75114,PhD,1,0
Male,Hispanic,58067,Bachelors,1,0
Female,Hispanic,62685,High School,1,0
Female,Black,38073,High School,0,1
Female,Asian,56035,PhD,1,1
Male,Hispanic,84977,PhD,1,0
Male,Hispanic,85450,High School,0,1
Female,Hispanic,30382,Bachelors,1,1
Female,White,24437,High School,0,0
Male,Black,90971,PhD,0,1
Female,White,84612,High School,0,1
Female,Black,81929,PhD,0,1
Male,Asian,32329,PhD,1,1
Female,Asian,45169,High School,0,1
Male,Hispanic,54594,Bachelors,0,1
Male,Black,96957,Masters,0,0
Male,Asian,80631,High School,1,1
Male,Black,65033,Masters,1,1
Male,Asian,83133,High School,0,1
Male,White,93165,Masters,0,0
Male,Asian,93861,Bachelors,1,1
Female,White,72290,Bachelors,0,0
Male,Asian,51750,High School,0,1
Male,Hispanic,60461,PhD,0,0
Female,White,93800,Masters,1,0
Female,Asian,98222,PhD,0,0
Female,Hispanic,44226,PhD,1,0
Male,White,26721,PhD,0,1
Female,Hispanic,76154,Bachelors,1,1
Male,Black,40609,High School,0,1
Male,Black,72130,High School,1,0
Male,White,92909,Bachelors,0,0
Male,Asian,75249,Bachelors,0,1
Female,White,68895,High School,1,1
Female,Hispanic,25656,PhD,0,0
Male,Asian,94520,Masters,1,0
Male,Black,83740,Masters,1,0
Male,Asian,84309,Masters,1,1
Female,Black,49984,PhD,0,1
Male,Asian,93822,High School,1,0
Male,Asian,25901,Bachelors,0,0
Female,Asian,51552,High School,1,1
Female,Hispanic,51055,PhD,1,0
Male,Hispanic,57685,Bachelors,1,0
Female,White,93965,PhD,0,1
Female,White,34716,Masters,1,0
Male,Black,31138,Masters,0,0
Female,Hispanic,55298,PhD,1,1
Male,Black,71112,Bachelors,0,1
Female,White,43429,Bachelors,1,1
Male,Black,70200,High School,1,1
Male,White,91308,Masters,1,1
Male,Hispanic,68244,High School,0,1
Female,Asian,37347,High School,1,0
Male,Hispanic,36920,PhD,0,1
Female,Black,51822,PhD,0,1
Male,Black,66659,High School,0,0
Male,Hispanic,60108,Masters,0,0
Female,Hispanic,27967,PhD,0,0
Male,White,31871,High School,1,0
Male,Black,97452,High School,0,0
Female,Black,94270,High School,0,1
Male,Hispanic,53613,High School,1,1
Male,Asian,48179,High School,0,0
Male,Black,72188,High School,1,0
Male,Asian,75099,PhD,1,0
Female,Hispanic,55262,Masters,1,1
Female,Hispanic,98213,High School,1,0
Male,White,38268,Bachelors,1,0
Female,Black,97866,PhD,1,0
Male,Asian,80545,PhD,0,0
Female,White,92146,High School,1,0
Male,Black,91966,PhD,0,1
Male,White,59922,High School,1,1
Male,Hispanic,99364,Masters,0,1
Male,Black,62913,Masters,1,0
Male,White,75677,PhD,0,1
Male,White,69841,PhD,1,1
Female,Asian,66332,Bachelors,0,0
Male,White,45032,PhD,1,1
Female,Black,57846,Bachelors,1,0
Male,Black,79474,Masters,0,1
Female,Asian,64936,Masters,1,0
Female,Black,49794,High School,1,1
Female,Hispanic,81588,Masters,1,0
Male,Black,90984,Bachelors,0,1
Male,Black,70331,PhD,0,1
Female,White,48141,High School,0,1
Male,White,29074,Bachelors,0,0
Female,Black,26406,PhD,1,0
Male,Asian,43291,High School,0,1
Female,White,61568,Masters,1,0
Female,Asian,66851,Bachelors,0,0
Male,Black,74823,PhD,1,1
Female,Black,43312,High School,1,1
Male,Hispanic,63108,High School,1,0
Female,White,86918,Masters,0,0
Female,Black,54171,PhD,0,0
Male,Hispanic,61779,Masters,0,1
Male,White,88828,Masters,0,1
Male,Black,32411,PhD,0,1
Female,Black,77009,PhD,0,1
Male,White,35422,PhD,0,0
Female,White,62468,Bachelors,1,0
Female,White,52371,PhD,0,0
Male,Black,77022,High School,0,0
Male,Black,91229,Masters,0,1
Female,Hispanic,71196,Bachelors,1,1
Female,Asian,46715,PhD,1,0
Male,White,47605,Bachelors,1,0
Male,Black,51174,PhD,1,1
Male,Black,29956,Bachelors,0,1
Male,White,96373,Masters,1,0
Male,Asian,89252,Masters,0,1
Female,White,81949,High School,0,1
Female,Asian,82646,High School,1,0
Female,Black,90017,PhD,1,1
Female,Asian,83037,Masters,0,0
Male,Hispanic,26548,Bachelors,1,1
Male,Black,93294,Bachelors,1,1
Male,Hispanic,43177,Bachelors,0,1
Female,White,44022,High School,0,1
Female,White,25542,Bachelors,0,0
Male,White,80428,High School,0,1
Male,Asian,42740,High School,0,1
Female,Black,79353,PhD,0,1
Female,White,76532,Bachelors,0,1
Male,White,36052,Bachelors,1,1
Male,Black,67076,Masters,1,1
Female,White,73420,PhD,1,0
Male,Hispanic,20671,Masters,0,1
Male,Black,20163,PhD,1,1
Male,Black,61424,Bachelors,1,1
Female,Black,73744,High School,1,1
Female,Hispanic,90331,High School,0,0
Female,Black,30634,High School,1,0
Female,Hispanic,24798,High School,0,1
Female,Black,42420,High School,0,1
Female,Asian,49300,Masters,1,0
Female,White,30749,PhD,1,1
Male,Asian,45121,Bachelors,0,0
Male,White,57487,Masters,1,1
Male,Hispanic,53361,PhD,1,0
Male,Asian,41223,High School,0,0
Male,Black,92930,PhD,1,0
Male,White,34056,PhD,0,0
Male,White,48380,High School,1,0
Female,Asian,46035,High School,1,0
Female,Hispanic,50620,High School,0,0
Male,Asian,39877,Bachelors,1,1
Male,Hispanic,75316,High School,1,1
Female,Hispanic,84041,Bachelors,1,0
Male,White,73352,High School,1,1
Male,Asian,50911,Bachelors,1,0
Female,Asian,52784,PhD,1,1
Male,Hispanic,23191,Masters,1,1
Female,Asian,53160,PhD,1,0
Male,Black,84641,PhD,0,0
Female,Black,69723,High School,1,0
Female,Asian,23631,Bachelors,0,0
Female,Asian,26172,Masters,1,1
Male,Hispanic,62080,High School,1,0
Female,Black,40281,High School,1,0
Male,Black,48671,High School,1,0
Male,White,71431,PhD,1,0
Male,Hispanic,48602,Bachelors,0,1
Male,White,71399,Bachelors,1,0
Female,Black,43472,Masters,0,1
Female,Hispanic,69230,Bachelors,0,0
Male,Asian,93616,Bachelors,0,0
Male,Hispanic,27099,High School,1,1
Female,Asian,45431,High School,1,0
Male,Asian,76492,PhD,1,1
Female,Hispanic,67684,High School,0,1
Male,Asian,50111,High School,0,0
Male,White,83936,High School,0,0
Female,Black,42614,High School,0,0
Male,Asian,61991,PhD,1,0
Female,White,90476,High School,0,0
Male,Asian,80920,Masters,0,0
Male,Black,83530,Masters,0,0
Male,White,56224,Masters,0,1
Female,Black,27788,Masters,0,1
Male,Black,48082,High School,0,1
Male,White,96816,Masters,1,0
Male,White,36531,High School,1,0
Male,White,64857,PhD,1,1
Female,Hispanic,30142,Masters,1,1
Female,White,68355,Bachelors,0,1
Male,White,29866,Masters,1,0
Female,White,90067,Masters,1,1
Male,White,84027,High School,0,1
Male,Asian,77906,Masters,1,0
Male,Hispanic,48138,Bachelors,0,0
Female,Black,49956,High School,0,1
Female,White,96295,High School,0,0
Female,Asian,25439,PhD,1,0
Female,Asian,67241,PhD,1,1
Female,Asian,62533,Masters,1,1
Female,Black,48270,PhD,0,0
Female,White,98815,PhD,0,0
Female,Hispanic,59279,PhD,0,0
Female,Hispanic,43888,High School,0,1
Male,Asian,37630,High School,1,0
Female,Black,81063,High School,0,1
Female,Black,55144,PhD,1,0
Female,Black,72161,High School,1,0
Female,Hispanic,97360,PhD,0,1
Female,Asian,70979,High School,1,1
Female,White,26979,High School,0,0
Female,Hispanic,46189,Bachelors,0,0
Female,Asian,62600,Masters,0,1
Female,Asian,79560,PhD,1,0
Female,White,98040,Bachelors,0,1
Female,White,81558,High School,1,0
Male,White,26910,PhD,1,1
Male,Black,77713,High School,0,1
Female,White,66857,Masters,1,0
Female,Asian,54964,Bachelors,1,1
Male,White,45227,Masters,0,0
